date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:23:24	456/456	---MCZ	200	added ('OK')	text/plain	etag:cacheable:9faa7beb06fa3f55cc33e32a8e717505	https://www.sakara.com/robots.txt		(from )
21:23:25	197697/197697	---MCZ	200	added ('OK')	text/html	etag:cacheable:378bfee0a6307bb71aacd02b5432b08f	https://www.sakara.com/	C:/Users/dell/Desktop/barath/food1/www.sakara.com/index.html	(from )
21:23:26	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2027%20Oct%202022%2015:53:25%20GMT	http://cdn.shopify.com/s/files/1/0192/0076/files/favicon_26e39aed-47ff-4f7c-b45e-1fee4e78e3d1_16x16.png?v=1613701440	C:/Users/dell/Desktop/barath/food1/cdn.shopify.com/s/files/1/0192/0076/files/favicon_26e39aed-47ff-4f7c-b45e-1fee4e78e3d1_16x16.0ccc3.delayed	(from https://www.sakara.com/)
21:23:27	609/609	---M--	200	added ('OK')	image/png	date:Wed,%2021%20Sep%202022%2018:23:02%20GMT	https://cdn.shopify.com/s/files/1/0192/0076/files/favicon_26e39aed-47ff-4f7c-b45e-1fee4e78e3d1_16x16.png?v=1613701440	C:/Users/dell/Desktop/barath/food1/cdn.shopify.com/s/files/1/0192/0076/files/favicon_26e39aed-47ff-4f7c-b45e-1fee4e78e3d1_16x16ccc3.png	(from https://www.sakara.com/)
21:23:27	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2027%20Oct%202022%2015:53:26%20GMT	http://cdn.shopify.com/s/files/1/0192/0076/files/favicon_26e39aed-47ff-4f7c-b45e-1fee4e78e3d1_32x32.png?v=1613701440	C:/Users/dell/Desktop/barath/food1/cdn.shopify.com/s/files/1/0192/0076/files/favicon_26e39aed-47ff-4f7c-b45e-1fee4e78e3d1_32x32ccc3.png	(from https://www.sakara.com/)
21:23:28	924/924	---M--	200	added ('OK')	image/png	date:Wed,%2021%20Sep%202022%2018:23:02%20GMT	https://cdn.shopify.com/s/files/1/0192/0076/files/favicon_26e39aed-47ff-4f7c-b45e-1fee4e78e3d1_32x32.png?v=1613701440	C:/Users/dell/Desktop/barath/food1/cdn.shopify.com/s/files/1/0192/0076/files/favicon_26e39aed-47ff-4f7c-b45e-1fee4e78e3d1_32x32ccc3.png	(from https://www.sakara.com/)
21:23:28	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2027%20Oct%202022%2015:53:28%20GMT	http://cdn.shopify.com/s/files/1/0192/0076/files/favicon_26e39aed-47ff-4f7c-b45e-1fee4e78e3d1_96x96.png?v=1613701440	C:/Users/dell/Desktop/barath/food1/cdn.shopify.com/s/files/1/0192/0076/files/favicon_26e39aed-47ff-4f7c-b45e-1fee4e78e3d1_96x96ccc3.png	(from https://www.sakara.com/)
21:23:29	2364/2364	---M--	200	added ('OK')	image/png	date:Wed,%2021%20Sep%202022%2018:22:27%20GMT	https://cdn.shopify.com/s/files/1/0192/0076/files/favicon_26e39aed-47ff-4f7c-b45e-1fee4e78e3d1_96x96.png?v=1613701440	C:/Users/dell/Desktop/barath/food1/cdn.shopify.com/s/files/1/0192/0076/files/favicon_26e39aed-47ff-4f7c-b45e-1fee4e78e3d1_96x96ccc3.png	(from https://www.sakara.com/)
21:23:29	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2027%20Oct%202022%2015:53:29%20GMT	http://cdn.shopify.com/s/files/1/0192/0076/files/favicon_26e39aed-47ff-4f7c-b45e-1fee4e78e3d1_200x200.png?v=1613701440	C:/Users/dell/Desktop/barath/food1/cdn.shopify.com/s/files/1/0192/0076/files/favicon_26e39aed-47ff-4f7c-b45e-1fee4e78e3d1_200x200ccc3.png	(from https://www.sakara.com/)
21:23:30	3050/3050	---M--	200	added ('OK')	image/png	date:Tue,%2020%20Sep%202022%2019:29:49%20GMT	https://cdn.shopify.com/s/files/1/0192/0076/files/favicon_26e39aed-47ff-4f7c-b45e-1fee4e78e3d1_200x200.png?v=1613701440	C:/Users/dell/Desktop/barath/food1/cdn.shopify.com/s/files/1/0192/0076/files/favicon_26e39aed-47ff-4f7c-b45e-1fee4e78e3d1_200x200ccc3.png	(from https://www.sakara.com/)
21:23:30	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2027%20Oct%202022%2015:53:30%20GMT	http://cdn.shopify.com/s/files/1/0192/0076/files/Mask_group1_1200x.png?v=1663882642	C:/Users/dell/Desktop/barath/food1/cdn.shopify.com/s/files/1/0192/0076/files/Mask_group1_1200x0f44.png	(from https://www.sakara.com/)
21:23:31	25343/25343	---M--	200	added ('OK')	image/png	date:Thu,%2022%20Sep%202022%2021:49:07%20GMT	https://cdn.shopify.com/s/files/1/0192/0076/files/Mask_group1_1200x.png?v=1663882642	C:/Users/dell/Desktop/barath/food1/cdn.shopify.com/s/files/1/0192/0076/files/Mask_group1_1200x0f44.png	(from https://www.sakara.com/)
21:23:31	1922/1922	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2027%20Oct%202022%2014:48:40%20GMT	https://cdn.shopify.com/shopifycloud/storefront-recaptcha-v3/v0.6/index.js	C:/Users/dell/Desktop/barath/food1/cdn.shopify.com/shopifycloud/storefront-recaptcha-v3/v0.6/index.js	(from https://www.sakara.com/)
21:23:31	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2027%20Oct%202022%2015:53:31%20GMT	http://cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-ab38017af3cf759db0af0bbd1e75229f6a189f5bf1f2db42169630998b969021.js	C:/Users/dell/Desktop/barath/food1/cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-ab38017af3cf759db0af0bbd1e75229f6a189f5bf1f2db42169630998b969021.js	(from https://www.sakara.com/)
21:23:32	10175/10175	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2026%20Aug%202022%2001:43:42%20GMT	https://cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-ab38017af3cf759db0af0bbd1e75229f6a189f5bf1f2db42169630998b969021.js	C:/Users/dell/Desktop/barath/food1/cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-ab38017af3cf759db0af0bbd1e75229f6a189f5bf1f2db42169630998b969021.js	(from https://www.sakara.com/)
21:23:32	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2027%20Oct%202022%2015:53:31%20GMT	http://cdn.shopify.com/shopifycloud/shopify/assets/shopify_pay/storefront-c31d2fa4962d2ef90b673e945ee33f4f87302b97d0882cd8e83a629b84b30dab.js?v=20220906	C:/Users/dell/Desktop/barath/food1/cdn.shopify.com/shopifycloud/shopify/assets/shopify_pay/storefront-c31d2fa4962d2ef90b673e945ee33f4f87302b97d0882cd8e83a629b84b30dabb805.js	(from https://www.sakara.com/)
21:23:32	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2027%20Oct%202022%2015:53:32%20GMT	http://cdn.shopify.com/shopifycloud/shopify/assets/storefront/features-87e8399988880142f2c62771b9d8f2ff6c290b3ff745dd426eb0dfe0db9d1dae.js	C:/Users/dell/Desktop/barath/food1/cdn.shopify.com/shopifycloud/shopify/assets/storefront/features-87e8399988880142f2c62771b9d8f2ff6c290b3ff745dd426eb0dfe0db9d1dae.js	(from https://www.sakara.com/)
21:23:32	50276/50276	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2025%20Oct%202022%2019:43:39%20GMT	https://cdn.shopify.com/shopifycloud/shopify/assets/shopify_pay/storefront-c31d2fa4962d2ef90b673e945ee33f4f87302b97d0882cd8e83a629b84b30dab.js?v=20220906	C:/Users/dell/Desktop/barath/food1/cdn.shopify.com/shopifycloud/shopify/assets/shopify_pay/storefront-c31d2fa4962d2ef90b673e945ee33f4f87302b97d0882cd8e83a629b84b30dabb805.js	(from https://www.sakara.com/)
